Date,Harvester,Time,Plant_ID,Total_root_tips,Colonized_tips,Wet_root_mass_total,Wet_soil_mass_total,Soil_mass_extraction_tube,Wet_root_mass_env,Wet_root_mass_frozen,Frozen,Wet_shoot_mass,Time_water_potential,Water_potential_bar,Notes
Mar-22,LB,17:27,RS053,95,59,0.4,1.2,,,,17:42,,,,"fungus crawling all over roots, not just on tips"
Mar-22,LB,17:30,RS046,uncolonized,uncolonized,0.35,1.3,,,,17:54,,,,
Mar-22,HM,11:09,RS210,NA,NA,0.19,1.41,,,,11:24,,15:04,75.45,
Mar-22,HM,11:32,RS265,NA,NA,0.31,1.55,,,,11:41,,14:10,no water to 49.30 bar - embolized?,
Mar-22,HM,11:46,RS425,NA,NA,0.18,1.56,,,,11:55,,14:22,>81,
Mar-22,HM,12:03,RS537,202,112,0.4,1.43,,,,12:44,,14:39,68,
Mar-22,HM,12:49,RS305,NA,NA,0.43,1.35,,,,12:58,,13:40,13.73,
Mar-22,HM,14:54,RS559,uncolonized,uncolonized,0.29,1.55,,,,15:09,,,,
Mar-22,HM,15:13,RS579,uncolonized,uncolonized,0.33,1.47,,,,15:22,,,,
Mar-22,HM,15:25,RS106,NA,NA,0.24,1.53,,,,15:34,,,,
Mar-22,HM,15:37,RS310,NA,NA,0.34,1.26,,,,15:44,,,,
Mar-22,HM,15:47,RS085,uncolonized,uncolonized,0.22,1.52,,,,16:01,,,,
Mar-22,LB,16:14,RS269,NA,NA,0.4,1.25,,,,16:22,,,,
Mar-22,LB,16:28,RS452,NA,NA,0.32,1.7,,,,16:38,,,,
Mar-22,LB,16:44,RS194,NA,NA,0.36,1.56,,,,16:52,,18:41,9.25,
Mar-22,LB,16:57,RS226,NA,NA,0.46,1.62,,,,17:04,,18:36,11.45,
Mar-22,LB,17:12,RS034,84,0,0.44,1.31,,,,17:27,,,,
Mar-22,HM,16:27,RS262,179,0,0.43,1.09,,,,16:35,,,,
Mar-22,HM,16:38,RS030,56,3,0.34,1.24,,,,16:46,,18:44,13.81,
Mar-22,HM,16:49,RS495,160,6,0.57,1.39,,,,16:58,,18:38,11.06,
Mar-22,HM,17:01,RS594,94,0,0.42,1.42,,,,17:09,,18:34,8.71,
Mar-22,HM,17:12,RS182,156,0,0.59,1.48,,,,17:21,,18:30,12.44,
Mar-22,HM,17:23,RS094,115,0,0.4,1.29,,,,17:29,,,,
Mar-22,HM,17:32,RS519,120,0,0.42,1.55,,,,17:37,,,,
Mar-22,HM,17:40,RS258,181,133,0.4,1.27,,,,17:47,,,,
Mar-22,HM,17:51,RS350,172,0,0.26,1.41,,,,17:57,,,,
Mar-22,LB,11:05,RS314,NA,NA,0.24,1.03,,,,11:17,,14:57,75,
Mar-22,LB,11:22,RS563,uncolonized,uncolonized,0.39,1.32,,,,11:35,,13:54,no water to 49.77 bar - embolized?,chlorotic
Mar-22,LB,11:41,RS159,92,68,0.28,1.42,,,,12:03,,14:15,47.45,
Mar-22,LB,12:12,RS160,uncolonized,uncolonized,0.18,1.75,,,,12:22,,15:25,">70 - stem slipped out, tried several times",chlorotic
Mar-22,LB,12:31,RS123,317,201,0.54,1.63,,,,12:57,,13:48,20.57,mildly chlorotic
Mar-22,HM,15:00,RS041,157,0,0.37,1.03,,,,15:10,,,,chlorotic
Mar-22,HM,15:13,RS032,189,0,0.39,1.5,,,,15:18,,,,
Mar-22,HM,15:22,RS323,200,0,0.4,1.46,,,,15:29,,,,
Mar-22,HM,15:34,RS266,137,8,0.38,1.31,,,,15:40,,,,
Mar-22,HM,15:43,RS114,107,81,0.21,1.42,,,,15:51,,,,
Mar-22,HM,15:52,RS294,131,0,0.28,1.34,,,,16:00,,,,
Mar-22,HM,16:14,RS593,125,80,0.17,1.38,,,,16:11,,,,
Mar-22,HM,16:14,RS249,167,0,0.35,1.47,,,,16:22,,,,
Mar-23,HM,11:41,RS289,129,0,0.36,1.29,,,,11:47,,16:05,5.97,
Mar-23,HM,11:50,RS299,159,0,0.49,1.19,,,,11:55,,16:09,22.3,
Mar-23,HM,11:58,RS497,133,101,0.32,1.29,,,,12:04,,15:32,23.3,
Mar-23,HM,12:07,RS312,136,84,0.33,1.22,,,,12:14,,NA,NA,
Mar-23,HM,12:17,RS595,205,0,0.32,1.22,,,,12:23,,NA,NA,
Mar-23,HM,12:27,RS435,190,0,0.52,1.22,,,,12:33,,15:57,18.9,
Mar-23,HM,12:36,RS303,251,0,0.43,1.11,,,,12:43,,15:24,9.5,
Mar-23,HM,12:46,RS580,104,46,0.33,1.48,,,,12:52,,14:54,32.85,
Mar-23,HM,12:56,RS589,72,2,0.22,1.39,,,,13:01,,14:43,no clear change to >50 bar,
Mar-23,HM,13:04,RS391,212,0,0.31,1.2,,,,13:10,,15:17,9.4 outer ring wet; 19.5 more toward center; 45.8 whole surface shines; not dark to >50,
Mar-23,HM,14:04,RS267,115,0,0.32,1.24,,,,14:09,,NA,NA,
Mar-23,HM,14:21,RS376,135,0,0.2,1.14,,,,14:27,,NA,NA,
Mar-23,HM,14:29,RS110,90,10,0.25,1.3,,,,14:35,,NA,NA,
Mar-23,HM,14:37,RS329,197,61,0.32,1.56,,,,14:44,,NA,NA,
