Suillus Harvest Soil Data,,,,,
,,,,,
ID,env_g,env_soil_wet_g,env_soil_dry_g,soil_wet_g,soil_dry_g
RS111,3.89,42.3,33.73,38.41,29.84
RS112,3.9,44.61,35.06,40.71,31.16
RS273,3.89,42.83,33.66,38.94,29.77
RS222,3.8,42.74,34.98,38.94,31.18
RS482,3.83,39.45,33.44,35.62,29.61
RS134,3.88,44.68,35.72,40.8,31.84
RS558,3.88,47.99,37.47,44.11,33.59
RS241,3.84,45.73,36.29,41.89,32.45
RS026,3.88,39.07,30.45,35.19,26.57
RS450,3.84,47.04,36.18,43.2,32.34
RS518,3.87,41.23,31.5,37.36,27.63
RS304,3.77,37.9,31.71,34.13,27.94
RS145,3.83,45.44,36.4,41.61,32.57
RS093,3.83,46.25,35.27,42.42,31.44
RS440,3.81,48.9,37.08,45.09,33.27
RS172,3.91,42.2,34.66,38.29,30.75
RS197,3.84,47.67,37.97,43.83,34.13
RS054,3.91,43.2,33.43,39.29,29.52
RS065,3.79,38.85,32.55,35.06,28.76
RS471,3.82,42.08,38.37,38.26,34.55
RS502,3.92,37.4,33.82,33.48,29.9
RS549,3.85,42.13,33.66,38.28,29.81
RS271,3.83,39.24,36.07,35.41,32.24
RS095,3.91,44,38.34,40.09,34.43
RS076,3.84,42,33.95,38.16,30.11
RS019,3.84,37.97,36.89,34.13,33.05
RS583,3.89,44.04,35.57,40.15,31.68
RS434,3.83,43.91,37.31,40.08,33.48
RS538,3.9,43.72,35.74,39.82,31.84
RS301,3.87,46.5,36.27,42.63,32.4
RS190,3.83,45.26,36.01,41.43,32.18
RS234,3.9,41.25,32.15,37.35,28.25
RS129,3.86,41.1,33.07,37.24,29.21
RS130,3.89,44.68,34.08,40.79,30.19
RS239,3.85,42.18,35.13,38.33,31.28
RS181,3.81,51.83,41.93,48.02,38.12
RS013,3.83,41.18,32.91,37.35,29.08
RS140,3.83,37.94,33.7,34.11,29.87
RS044,3.84,39.11,32.15,35.27,28.31
RS510,3.75,42.03,34.29,38.28,30.54
RS528,3.84,40.74,33.37,36.9,29.53
RS221,3.79,41.95,34.31,38.16,30.52
RS517,3.86,46.96,37.33,43.1,33.47
RS523,3.88,39.99,32.75,36.11,28.87
RS028,3.82,44.93,36.2,41.11,32.38
RS514,3.74,43.89,33.99,40.15,30.25
RS022,3.81,42.6,35.66,38.79,31.85
RS551,3.87,38.1,33.31,34.23,29.44
RS402,3.89,40.13,32.83,36.24,28.94
RS228,3.88,44,34.97,40.12,31.09
RS390,3.9,36.69,35.79,32.79,31.89
RS308,3.8,42.32,34.22,38.52,30.42
RS300,3.85,44.69,33.49,40.84,29.64
RS124,3.87,45.31,34.73,41.44,30.86
RS481,3.89,41.16,35.26,37.27,31.37
RS005,3.84,45.75,37.92,41.91,34.08
RS561,3.84,44.37,35.58,40.53,31.74
RS322,3.82,48.8,37.38,44.98,33.56
RS488,3.89,53.39,41.88,49.5,37.99
RS505,3.85,42.37,34.73,38.52,30.88
RS525,3.83,42.93,34.26,39.1,30.43
RS325,3.68,44.56,34.58,40.88,30.9
RS351,3.88,50.37,39.99,46.49,36.11
RS097,3.88,40,35.26,36.12,31.38
RS057,3.36,56.61,34.1,53.25,30.74
RS461,3.4,51.9,32.84,48.5,29.44
RS079,3.39,61.28,37.83,57.89,34.44
RS312,3.37,39.67,34.72,36.3,31.35
RS207,3.36,58.8,36.45,55.44,33.09
RS329,3.37,37.37,33.16,34,29.79
RS284,3.41,61.53,39.04,58.12,35.63
RS309,3.39,55.39,37.96,52,34.57
RS463,3.38,57.34,34.36,53.96,30.98
RS229,3.43,57.79,36.75,54.36,33.32
RS592,3.4,56.54,33.48,53.14,30.08
RS541,3.31,51.13,33.88,47.82,30.57
RS303,3.37,35.58,31.11,32.21,27.74
RS289,3.41,40.2,34.91,36.79,31.5
RS536,3.39,57.48,35.78,54.09,32.39
RS595,3.39,36.41,31.98,33.02,28.59
RS299,3.38,38.09,33.78,34.71,30.4
RS242,3.36,37.25,33.41,33.89,30.05
RS497,3.36,40.76,35.38,37.4,32.02
RS411,3.41,50.98,34.72,47.57,31.31
RS564,3.36,36.12,32.77,32.76,29.41
RS405,3.36,35.54,30.7,32.18,27.34
RS267,3.41,41.33,36.49,37.92,33.08
RS110,3.36,40.01,35.16,36.65,31.8
RS376,3.39,40.65,37.09,37.26,33.7
RS180,3.35,48.07,33.6,44.72,30.25
RS070,3.38,40.16,36.25,36.78,32.87
RS435,3.35,40.59,34.67,37.24,31.32
RS103,3.34,39.87,36.87,36.53,33.53
RS438,3.33,41.57,36.58,38.24,33.25
RS580,3.37,39.86,34.15,36.49,30.78
RS543,3.37,40.28,36.28,36.91,32.91
RS023,3.4,33.56,30.96,30.16,27.56
RS424,3.33,45.92,37.6,42.59,34.27
RS240,3.41,41.24,36.43,37.83,33.02
RS403,3.36,37.67,33.88,34.31,30.52
RS049,3.39,37.12,32.91,33.73,29.52
RS209,3.43,30.17,26.62,26.74,23.19
RS393,3.88,41.91,37.47,38.03,33.59
RS589,3.41,37.65,33.58,34.24,30.17
RS391,3.39,37.24,33.12,33.85,29.73
RS144,3.46,39.56,36,36.1,32.54
RS326,3.35,56.22,39.49,52.87,36.14
RS233,3.45,37.84,34.29,34.39,30.84
RS164,3.4,34.46,28.9,31.06,25.5
RS542,3.27,38.6,33.18,35.33,29.91
RS506,3.36,39.24,34.55,35.88,31.19
RS306,3.4,38.69,34.79,35.29,31.39
RS495,3.31,48.69,36.71,45.38,33.4
RS593,3.3,34.85,33.98,31.55,30.68
RS203,3.36,58.72,39.27,55.36,35.91
RS018,3.37,56.23,32.94,52.86,29.57
RS576,3.42,41.06,34.15,37.64,30.73
RS059,3.44,39.01,36.04,35.57,32.6
RS568,3.34,58.85,34.47,55.51,31.13
RS373,3.88,42.46,38.97,38.58,35.09
RS361,3.88,41.03,35.15,37.15,31.27
RS078,3.93,38.73,34.92,34.8,30.99
RS011,3.37,61.14,39.95,57.77,36.58
RS075,3.37,46.13,30.17,42.76,26.8
RS250,3.44,3.71,38.25,0.27,34.81
RS370,3.37,64.47,39.51,61.1,36.14
RS297,3.39,59.24,35.02,55.85,31.63
RS295,3.42,54.68,33.33,51.26,29.91
RS103,3.42,63.5,39.41,60.08,35.99
RS151,3.4,62.13,38.82,58.73,35.42
RS554,3.38,62.6,38.41,59.22,35.03
RS566,3.41,56.91,34.35,53.5,30.94
RS313,3.39,58.95,36.24,55.56,32.85
RS287,3.4,54.69,30.51,51.29,27.11
RS324,3.42,57.28,32.48,53.86,29.06
RS358,3.37,67.18,41.99,63.81,38.62
RS243,3.24,56.38,34.63,53.14,31.39
RS186,3.4,54.41,34.01,51.01,30.61
RS261,3.37,54.71,36.58,51.34,33.21
RS047,3.08,58.09,34.87,55.01,31.79
RS247,3.37,57.49,33.46,54.12,30.09
RS168,3.33,57.8,35.82,54.47,32.49
RS195,3.46,55.46,35.55,52,32.09
RS155,3.38,60.54,36.24,57.16,32.86
RS230,3.47,64.03,37.72,60.56,34.25
RS367,3.41,57.96,38.61,54.55,35.2
RS249,3.29,33.24,31.92,29.95,28.63
RS545,3.34,35.92,36.35,32.58,33.01
RS269,3.3,34.85,37.08,31.55,33.78
RS413,3.4,57.82,40.26,54.42,36.86
RS511,3.35,37.33,33.38,33.98,30.03
RS046,3.31,33.03,34.8,29.72,31.49
RS442,3.93,40.96,37.88,37.03,33.95
RS342,3.4,57.76,38.73,54.36,35.33
RS262,3.39,35.92,34.55,32.53,31.16
RS069,3.4,33.84,31.63,30.44,28.23
RS178,3.36,40.85,38.63,37.49,35.27
RS524,3.42,NA,34.3,NA,30.88
RS476,3.41,40.68,36.75,37.27,33.34
RS512,3.35,33.68,31.11,30.33,27.76
RS053,3.34,32.93,34.86,29.59,31.52
RS030,3.34,44.4,32.77,41.06,29.43
RS034,3.31,33.13,35.02,29.82,31.71
RS552,3.44,59.34,39.12,55.9,35.68
RS436,3.37,57.57,33.89,54.2,30.52
RS283,3.37,58.06,35.35,54.69,31.98
RS372,3.41,57.44,37.92,54.03,34.51
RS167,3.29,54.33,32.7,51.04,29.41
RS213,3.42,57.81,35.92,54.39,32.5
RS263,3.44,58.49,34.38,55.05,30.94
RS374,3.35,55.77,35.59,52.42,32.24
RS487,3.36,62.3,41.96,58.94,38.6
RS375,3.41,58.81,35.5,55.4,32.09
RS522,3.4,58.4,38.22,55,34.82
RS231,3.38,60.97,40.67,57.59,37.29
RS264,3.41,57.3,35.94,53.89,32.53
RS177,3.89,44.16,36.43,40.27,32.54
RS449,3.86,43.54,34.53,39.68,30.67
RS540,3.87,44.53,34.56,40.66,30.69
RS316,3.91,36.8,35.87,32.89,31.96
RS407,3.91,44.69,37.27,40.78,33.36
RS526,3.83,47.34,37.34,43.51,33.51
RS426,3.91,45.09,35.58,41.18,31.67
RS484,3.9,46.09,35.55,42.19,31.65
RS458,3.88,45.01,36.38,41.13,32.5
RS587,3.85,36.68,31.94,32.83,28.09
RS544,3.91,41.9,33.3,37.99,29.39
RS478,3.92,41.93,33.85,38.01,29.93
RS214,3.84,38.84,36.62,35,32.78
RS516,3.88,44.24,35.35,40.36,31.47
RS270,3.81,38.32,32.92,34.51,29.11
RS083,3.82,45.34,36.42,41.52,32.6
RS293,3.81,45.23,32.25,41.42,28.44
RS575,3.87,47.4,33.98,43.53,30.11
RS074,3.88,41.59,31.25,37.71,27.37
RS382,3.91,52.44,38.97,48.53,35.06
RS016,3.88,46.11,33.94,42.23,30.06
RS007,3.92,49.61,36.62,45.69,32.7
RS574,3.88,47.76,35.86,43.88,31.98
RS165,3.82,41.58,34.06,37.76,30.24
RS166,3.89,52.31,36.9,48.42,33.01
RS188,3.83,56.52,42.23,52.69,38.4
RS368,3.82,50.31,36.45,46.49,32.63
RS244,3.91,47.59,35.57,43.68,31.66
RS328,3.86,49.6,35.87,45.74,32.01
RS272,3.85,42.22,31.63,38.37,27.78
RS446,3.86,NA,37.5,NA,33.64
