Batch,Date_harvested,Plant_ID,N_level,Water,Spore
Dry day 7,22 March 2022,RS014,low,dry,NM
Dry day 7,22 March 2022,RS032,low,dry,NM
Dry day 7,22 March 2022,RS249,low,dry,NM
Dry day 7,22 March 2022,RS121,low,dry,NM
Dry day 7,22 March 2022,RS210,low,dry,NM
Dry day 7,22 March 2022,RS265,low,dry,NM
Dry day 7,22 March 2022,RS425,low,dry,NM
Dry day 7,22 March 2022,RS310,low,dry,NM
Dry day 7,22 March 2022,RS294,low,dry,NM
Dry day 7,22 March 2022,RS262,low,dry,NM
Dry day 7,22 March 2022,RS019,low,dry,NM
Dry day 7,22 March 2022,RS390,low,dry,NM
Dry day 7,22 March 2022,RS224,high,dry,spore
Dry day 7,22 March 2022,RS046,high,dry,spore
Dry day 7,22 March 2022,RS034,high,dry,spore
Dry day 7,22 March 2022,RS085,high,dry,spore
Dry day 7,22 March 2022,RS159,high,dry,spore
Dry day 7,22 March 2022,RS114,high,dry,spore
Dry day 7,22 March 2022,RS266,high,dry,spore
Dry day 7,22 March 2022,RS559,high,dry,spore
Dry day 7,22 March 2022,RS258,low,dry,spore
Dry day 7,22 March 2022,RS316,low,dry,spore
Dry day 7,22 March 2022,RS503,low,dry,spore
Dry day 7,22 March 2022,RS160,low,dry,spore
Dry day 7,22 March 2022,RS537,low,dry,spore
Dry day 7,22 March 2022,RS563,low,dry,spore
Dry day 7,22 March 2022,RS053,low,dry,spore
Dry day 7,22 March 2022,RS460,low,dry,spore
Dry day 7,22 March 2022,RS504,low,dry,spore
Dry day 7,22 March 2022,RS350,low,dry,spore
Dry day 7,22 March 2022,RS593,low,dry,spore
Dry day 7,22 March 2022,RS579,low,dry,spore
Dry day 7,22 March 2022,RS030,low,intermed,spore
Dry day 7,22 March 2022,RS495,low,intermed,spore
Dry day 7,22 March 2022,RS123,low,intermed,spore
Dry day 7,22 March 2022,RS594,low,intermed,spore
Dry day 7,22 March 2022,RS305,low,intermed,NM
Dry day 7,22 March 2022,RS194,low,intermed,NM
Dry day 7,22 March 2022,RS226,low,intermed,NM
Dry day 7,22 March 2022,RS182,low,intermed,NM
Dry day 7,22 March 2022,RS106,high,dry,NM
Dry day 7,22 March 2022,RS094,high,dry,NM
Dry day 7,22 March 2022,RS519,high,dry,NM
Dry day 7,22 March 2022,RS404,high,dry,NM
Dry day 7,22 March 2022,RS430,high,dry,NM
Dry day 7,22 March 2022,RS382,high,dry,NM
Dry day 7,22 March 2022,RS314,high,dry,NM
Dry day 7,22 March 2022,RS323,high,dry,NM
Dry day 7,22 March 2022,RS269,high,dry,NM
Dry day 7,22 March 2022,RS452,high,dry,NM
Dry day 7,22 March 2022,RS341,high,dry,NM
Dry day 7,22 March 2022,RS457,high,dry,NM
Dry day 7,22 March 2022,RS397,high,dry,NM
