Date,Time_water_potential,Plant_ID,Water_potential_negative_MPa,Water_potential_negative_bar,Water_potential_MPa,Water_potential_notes
3/22/2022,15:04,RS210,,75.45,-7.545,
3/22/2022,14:10,RS265,,NA,#VALUE!,no water to 49.30 bar - embolized?
3/22/2022,14:22,RS425,,NA,#VALUE!,>81
3/22/2022,14:39,RS537,,68,-6.8,
3/22/2022,13:40,RS305,,13.73,-1.373,
3/22/2022,18:41,RS194,,9.25,-0.925,
3/22/2022,18:36,RS226,,11.45,-1.145,
3/22/2022,18:44,RS030,,13.81,-1.381,
3/22/2022,18:38,RS495,,11.06,-1.106,
3/22/2022,18:34,RS594,,8.71,-0.871,
3/22/2022,18:30,RS182,,12.44,-1.244,
3/22/2022,14:57,RS314,,75,-7.5,
3/22/2022,13:54,RS563,,NA,#VALUE!,no water to 49.77 bar - embolized?
3/22/2022,14:15,RS159,,47.45,-4.745,
3/22/2022,15:25,RS160,,NA,#VALUE!,">70 - stem slipped out, tried several times"
3/22/2022,13:48,RS123,,20.57,-2.057,
3/23/2022,16:05,RS289,,5.97,-0.597,
3/23/2022,16:09,RS299,,22.3,-2.23,
3/23/2022,15:32,RS497,,23.3,-2.33,
3/23/2022,15:57,RS435,,18.9,-1.89,
3/23/2022,15:24,RS303,,9.5,-0.95,
3/23/2022,14:54,RS580,,32.85,-3.285,
3/23/2022,14:43,RS589,,NA,#VALUE!,no clear change to >50 bar
3/23/2022,15:17,RS391,,19.5,-1.95,9.4 outer ring wet; 19.5 more toward center; 45.8 whole surface shines; not dark to >50
3/23/2022,17:25,RS541,,13.1,-1.31,
3/23/2022,17:12,RS309,,12.1,-1.21,"two stems. stem A = 12.10, stem B = 15.52"
3/23/2022,16:57,RS411,,12.83,-1.283,
3/23/2022,15:50,RS164,,16.4,-1.64,5.8 dark patch; 16.4 more of it dark
3/23/2022,15:38,RS103,,19.1,-1.91,19.1 part of xylem dark; definitely by 25
3/23/2022,15:45,RS405,,19.1,-1.91,6.93 middle darker; 19.1 rest of xylem a little darker
3/23/2022,14:23,RS233,,48.54,-4.854,
3/23/2022,14:31,RS543,,NA,#VALUE!,no clear change to 70 bar
3/23/2022,15:10,RS306,,24.9,-2.49,15.95 ring darkened; 24.9 a bit dark in middle; no other change to 50 bar
3/23/2022,17:35,RS203,,10.43,-1.043,
3/23/2022,17:33,RS342,,9,-0.9,
3/23/2022,17:28,RS413,,12.51,-1.251,
3/23/2022,17:20,RS070,,17.1,-1.71,
3/23/2022,17:01,RS326,,19.62,-1.962,
3/23/2022,16:53,RS180,,14.55,-1.455,
3/23/2022,15:33,RS542,,17.95,-1.795,
3/23/2022,15:00,RS240,,NA,#VALUE!,not clear
3/24/2022,17:08,RS287,,9.48,-0.948,
3/24/2022,17:13,RS213,,17.38,-1.738,
3/24/2022,17:20,RS461,,12.69,-1.269,
3/24/2022,10:53,RS566,,13.02,-1.302,
3/24/2022,11:14,RS243,,14.07,-1.407,
3/24/2022,11:22,RS168,,12.12,-1.212,
3/24/2022,14:55,RS018,,13,-1.3,
3/24/2022,14:44,RS075,,15.82,-1.582,
3/24/2022,14:32,RS151,,12.9,-1.29,
3/24/2022,14:19,RS313,,14.63,-1.463,
3/24/2022,14:10,RS047,,10.64,-1.064,
3/24/2022,14:00,RS186,,14.49,-1.449,
3/24/2022,13:49,RS284,,10.55,-1.055,
3/24/2022,13:47,RS230,,5.6,-0.56,
3/24/2022,15:25,RS195,,14.45,-1.445,
3/24/2022,15:39,RS436,,11.96,-1.196,
3/24/2022,15:44,RS592,,5.49,-0.549,
3/24/2022,15.56,RS247,,10.01,-1.001,
3/24/2022,16:02,RS372,,22.88,-2.288,
3/24/2022,17:02,RS155,,8.91,-0.891,
3/24/2022,17:16,RS324,,8.17,-0.817,
3/24/2022,17:22,RS576,,14.03,-1.403,
3/24/2022,11:11,RS10,,9.78,-0.978,
3/24/2022,11:11,RS261,,17.5,-1.75,
3/24/2022,11:28,RS568,,9.47,-0.947,
3/24/2022,14:51,RS011,,17.11,-1.711,
3/24/2022,14:35,RS370,,23.54,-2.354,
3/24/2022,14:25,RS250,,19.07,-1.907,
3/24/2022,14:13,RS358,,16.15,-1.615,
3/24/2022,13:58,RS297,,12.55,-1.255,
3/24/2022,13:52,RS463,,15.18,-1.518,
3/24/2022,15:28,RS552,,15.35,-1.535,
3/24/2022,15.34,RS207,,5.92,-0.592,
3/24/2022,15:46,RS554,,10.87,-1.087,
3/24/2022,15:53,RS367,,21.99,-2.199,
3/24/2022,16:06,RS536,,11.52,-1.152,
3/24/2022,16:50,RS057,,11.11,-1.111,
3/24/2022,16:54,RS229,,17.41,-1.741,
3/24/2022,17:11,RS295,,12.47,-1.247,
3/24/2022,10:44,RS522,,16.62,-1.662,
3/24/2022,11:11,RS231,,14.83,-1.483,
3/24/2022,11:11,RS374,,8.28,-0.828,
3/24/2022,11:18,RS283,,15.02,-1.502,
3/24/2022,11:25,RS167,,13.8,-1.38,
3/24/2022,11:32,RS487,,14.52,-1.452,
3/24/2022,14:48,RS375,,18.88,-1.888,
3/24/2022,14.42,RS500,,13.72,-1.372,
3/24/2022,14:39,RS281,,17.45,-1.745,
3/24/2022,14:29,RS264,,14.6,-1.46,
3/24/2022,14:16,RS079,,19.08,-1.908,
3/24/2022,14:04,RS263,,17.75,-1.775,
3/24/2022,13:41,RS388,,9.15,-0.915,
3/24/2022,15:19,RS531,,21.45,-2.145,
3/24/2022,15:23,RS499,,12.99,-1.299,
3/24/2022,15:31,RS588,,21.05,-2.105,
3/24/2022,15:36,RS201,,17.85,-1.785,
3/24/2022,15:42,RS546,,15.86,-1.586,
3/24/2022,15:49,RS573,,12.71,-1.271,
3/24/2022,15.58,RS099,,15.91,-1.591,
3/24/2022,16:08,RS143,,11.98,-1.198,
3/24/2022,16:14,RS319,,15.73,-1.573,
3/24/2022,16:58,RS217,,19.47,-1.947,
3/24/2022,17:05,RS410,,17.38,-1.738,
3/24/2022,17:12,RS431,,6.13,-0.613,
3/24/2022,17:17,RS569,,16.48,-1.648,
3/24/2022,19:45,RS211,,26.6,-2.66,
3/24/2022,19:28,RS136,,18.77,-1.877,
3/24/2022,19:13,RS498,,23.63,-2.363,
3/24/2022,19:21,RS259,,16.1,-1.61,
3/24/2022,17:38,RS059,,NA,#VALUE!,"~37, not clear"
3/24/2022,19:56,RS078,,22.62,-2.262,
3/24/2022,19:49,RS399,,NA,#VALUE!,">55, not clear"
3/24/2022,19:18,RS169,,15.28,-1.528,
3/24/2022,19:32,RS208,,29.32,-2.932,
3/24/2022,17:49,RS437,,39.21,-3.921,
3/24/2022,19:05,RS081,,13.31,-1.331,
3/24/2022,19:02,RS533,,18.57,-1.857,
3/24/2022,19:10,RS378,,14.39,-1.439,
3/24/2022,19:24,RS360,,18.36,-1.836,
3/24/2022,19:32,RS400,,NA,#VALUE!,"not clear, >50"
3/24/2022,13:52,RS463,,15.18,-1.518,
3/25/2022,13:25,RS535,,16.95,-1.695,"xylem unambiguously dark (only part of it, though)"
3/25/2022,13:29,RS468,,24.34,-2.434,xylem dark
3/25/2022,13:36,RS102,,34.13,-3.413,xylem wet
3/25/2022,13:41,RS357,,26.34,-2.634,pretty subtle
3/25/2022,13:48,RS084,,NA,#VALUE!,not clear
3/25/2022,13:52,RS373,,13.73,-1.373,clear
3/25/2022,13:55,RS508,,28.6,-2.86,subtle
3/25/2022,14:02,RS572,,27.22,-2.722,part of xylem dark
3/25/2022,14:09,RS191,,10.29,-1.029,very clear
3/25/2022,14:10,RS393,,17.05,-1.705,very clear
3/25/2022,14:13,RS396,,23.6,-2.36,very clear
3/25/2022,14:17,RS346,,NA,#VALUE!,"not clear, only part of xylem wet at 27 bar"
3/25/2022,14:29,RS215,,13.65,-1.365,
3/25/2022,14:31,RS248,,33.4,-3.34,"not super clear, only a few patches on xylem wet"
3/25/2022,14:36,RS571,,13.7,-1.37,very clear
3/25/2022,14:40,RS547,,14.35,-1.435,pretty subtle
3/25/2022,14:51,RS361,,10.89,-1.089,very clear
3/25/2022,14:54,RS225,,10.34,-1.034,very clear
3/25/2022,14:57,RS476,,27.01,-2.701,very clear
3/25/2022,15:02,RS530,,17.55,-1.755,very clear
3/25/2022,15:52,RS524,,34.5,-3.45,pretty subtle
3/25/2022,15:59,RS442,,35.42,-3.542,very clear
3/25/2022,16:09,RS494,,20.58,-2.058,very clear
3/25/2022,16:09,RS100,,18.26,-1.826,very clear
3/25/2022,16:12,RS553,,42.9,-4.29,very clear
3/25/2022,16:19,RS447,,51.54,-5.154,"outer ring darker, no other change, probably true value > 50 bar or embolized."
3/25/2022,16:29,RS178,,15.3,-1.53,clear
3/25/2022,16:33,RS366,,20.79,-2.079,clear
3/25/2022,16:37,RS389,,23.7,-2.37,clear
3/25/2022,16:41,RS419,,32.97,-3.297,clear
3/25/2022,16:50,RS073,,20.23,-2.023,very clear
3/25/2022,16:58,RS147,,22.32,-2.232,very clear
3/25/2022,17:02,RS056,,15.95,-1.595,very clear
3/25/2022,17:03,RS512,,28.91,-2.891,"only part of xylem wet, subtle to > 50 bar"
3/25/2022,17:16,RS600,,20.99,-2.099,"18.29 ring around outside of xylem dark, 20.99 whole xylem dark."
3/25/2022,17:20,RS069,,NA,#VALUE!,">50 bar, never changed."
3/25/2022,17:25,RS456,,22.25,-2.225,clear
3/25/2022,17:28,RS564,,33.45,-3.345,clear (initial minor color change at 7.98)
3/29/2022,13:38,RS292,,26.45,-2.645,very clear
3/29/2022,13:44,RS255,,14.61,-1.461,very clear
3/29/2022,13:48,RS582,,28.02,-2.802,very clear
3/29/2022,13:54,RS470,,15,-1.5,very clear
3/29/2022,13:59,no number,,22.89,-2.289,very clear
3/29/2022,14:04,RS238,,15.97,-1.597,very clear
3/29/2022,14:08,RS052,,18.75,-1.875,very clear
3/29/2022,14:15,RS392,,14.92,-1.492,very clear
3/29/2022,14:18,RS178,,16.46,-1.646,very clear
3/29/2022,14:21,RS285,,20.77,-2.077,very clear
3/29/2022,14:28,RS520,,21.14,-2.114,very clear
3/29/2022,14:32,RS463,,20.1,-2.01,very clear
3/29/2022,14:35,RS534,,30.8,-3.08,very clear
3/29/2022,14:40,RS200,,12.91,-1.291,very clear
3/29/2022,14:43,RS457,,22.31,-2.231,very clear
3/29/2022,14:47,RS206,,25.83,-2.583,very clear
3/29/2022,14:51,RS205,,23.75,-2.375,very clear
3/29/2022,14:55,RS599,,24.15,-2.415,very clear
3/29/2022,14:55,RS599,,24.15,-2.415,very clear
3/29/2022,14:58,RS318,,11.18,-1.118,very clear
3/29/2022,15:01,RS493,,15.96,-1.596,very clear
3/29/2022,15:04,RS578,,18.79,-1.879,very clear
3/29/2022,15:07,RS045,,16.29,-1.629,very clear
3/29/2022,15:11,RS204,,19.07,-1.907,very clear
3/29/2022,15:15,RS486,,14.62,-1.462,very clear
3/29/2022,15:18,RS354,,12.55,-1.255,very clear
3/29/2022,15:21,RS414,,9.52,-0.952,very clear
3/29/2022,15:24,RS404,,14.24,-1.424,very clear
3/29/2022,15:27,RS227,,18.19,-1.819,very clear
3/29/2022,15:32,RS454,,21.17,-2.117,very clear
