Harvester,Time,Plant_ID,Uncolonized_roots,Total_root_tips,Colonized_tips,Soil_mass_extraction_tube,Wet_root_mass_env,Wet_root_mass_frozen,Frozen,Wet_root_mass_total,Notes,Wet_shoot_mass,harvesttime,harvest_datetime,env_g,env_soil_wet_g,env_soil_dry_g,soil_wet_g,soil_dry_g,Date,Time_water_potential,Water_potential_negative_MPa,Water_potential_negative_bar,Water_potential_MPa,Water_potential_notes,Batch,Date_harvested,N_level,Water,Spore,soil_moisture_loss,soil_moisture_loss_corrected,soil_moisture_pct,days_since_watering,water_potential_formatted_time,water_potential_lag,lagnumeric,water_potential_corrected
GR,1899-12-31T11:21:00Z,RS191,"NA","NA","NA",1.19,0.24,0.41,0.48125000000000001,NA,NA,NA,11:21:00,2022-03-25T11:21:00Z,3.88,39.06,35.07,35.18,31.19,2022-03-25,14:09,NA,10.29,-1.029,very clear,Dry day 3,25 March 2022,high,dry,NM,3.9899999999999984,3.9899999999999984,11.34167140420693,3,2022-03-25T14:09:00Z,168,168,-0.46816559999999985
GR,1899-12-31T11:43:00Z,RS215,"NA","NA","NA",1.33,0.2,0.23,0.49861111111111112,NA,NA,NA,11:43:00,2022-03-25T11:43:00Z,3.9,41.44,36.49,37.54,32.59,2022-03-25,14:29,NA,13.65,-1.365,NA,Dry day 3,25 March 2022,high,dry,NM,4.949999999999996,4.949999999999996,13.185935002663815,3,2022-03-25T14:29:00Z,166,166,-0.8108422
GR,1899-12-31T12:07:00Z,RS225,"NA","NA","NA",1.24,0.46,0.3,0.51250000000000007,NA,NA,NA,12:07:00,2022-03-25T12:07:00Z,3.88,40.62,35.79,36.74,31.91,2022-03-25,14:54,NA,10.34,-1.034,very clear,Dry day 3,25 March 2022,high,dry,NM,4.830000000000002,4.830000000000002,13.146434403919438,3,2022-03-25T14:54:00Z,167,167,-0.4765039
GR,1899-12-31T12:26:00Z,RS442,"NA","NA","NA",1.52,0.16,0.11,0.52361111111111114,NA,NA,NA,12:26:00,2022-03-25T12:26:00Z,3.93,40.96,37.88,37.03,33.95,2022-03-25,15:59,NA,35.42,-3.542,very clear,NA,NA,NA,NA,NA,3.0799999999999983,3.0799999999999983,8.317580340264644,NA,2022-03-25T15:59:00Z,213,213,-2.8309420999999997
GR,1899-12-31T12:37:00Z,RS100,"NA","NA","NA",1.43,0.27,0.19,0.53333333333333333,NA,NA,NA,12:37:00,2022-03-25T12:37:00Z,3.94,36.2,33.43,32.26,29.49,2022-03-25,16:09,NA,18.26,-1.826,very clear,Dry day 3,25 March 2022,high,dry,NM,2.7699999999999996,2.7699999999999996,8.586484810911346,3,2022-03-25T16:09:00Z,212,212,-1.1182804000000002
HM,1899-12-31T12:49:00Z,RS305,"NA","NA","NA",NA,NA,NA,0.54027777777777775,0.43,NA,NA,12:49:00,2022-03-22T12:49:00Z,NA,NA,NA,NA,NA,2022-03-22,13:40,NA,13.73,-1.373,NA,Dry day 7,22 March 2022,low,intermed,NM,NA,NA,NA,7,2022-03-22T13:40:00Z,51,51,-1.2027467
HM,1899-12-31T16:38:00Z,RS030,56,59,3,NA,NA,NA,0.69861111111111107,0.34,NA,NA,16:38:00,2022-03-22T16:38:00Z,3.34,44.4,32.77,41.06,29.43,2022-03-22,18:44,NA,13.81,-1.381,NA,Dry day 7,22 March 2022,low,intermed,spore,11.630000000000003,11.630000000000003,28.324403312226014,7,2022-03-22T18:44:00Z,126,126,-0.9603742
HM,1899-12-31T16:49:00Z,RS495,160,166,6,NA,NA,NA,0.70694444444444438,0.57,NA,NA,16:49:00,2022-03-22T16:49:00Z,3.31,48.69,36.71,45.38,33.4,2022-03-22,18:38,NA,11.06,-1.106,NA,Dry day 7,22 March 2022,low,intermed,spore,11.980000000000004,11.980000000000004,26.39929484354342,7,2022-03-22T18:38:00Z,109,109,-0.7421253000000001
HM,1899-12-31T17:01:00Z,RS594,94,94,0,NA,NA,NA,0.71458333333333324,0.42,NA,NA,17:01:00,2022-03-22T17:01:00Z,3.31,42.3,31.67,38.99,28.36,2022-03-22,18:34,NA,8.71,-0.871,NA,Dry day 7,22 March 2022,low,intermed,spore,10.630000000000003,10.630000000000003,27.263400872018472,7,2022-03-22T18:34:00Z,93,93,-0.5605381
HM,1899-12-31T17:12:00Z,RS182,156,156,0,NA,NA,NA,0.72291666666666676,0.59,NA,NA,17:12:00,2022-03-22T17:12:00Z,3.33,43.35,35.71,40.02,32.38,2022-03-22,18:30,NA,12.44,-1.244,NA,Dry day 7,22 March 2022,low,intermed,NM,7.640000000000001,7.640000000000001,19.090454772613693,7,2022-03-22T18:30:00Z,78,78,-0.9836126000000001
HM,1899-12-31T11:41:00Z,RS289,129,129,0,NA,NA,NA,0.4909722222222222,0.36,NA,NA,11:41:00,2022-03-23T11:41:00Z,3.41,40.2,34.91,36.79,31.5,2022-03-23,16:05,NA,5.97,-0.597,NA,Dry day 1,23 March 2022,low,dry,NM,5.289999999999999,5.289999999999999,14.3789073117695,1,2022-03-23T16:05:00Z,264,264,0.2843112000000001
HM,1899-12-31T11:50:00Z,RS299,159,159,0,NA,NA,NA,0.49652777777777773,0.49,NA,NA,11:50:00,2022-03-23T11:50:00Z,3.38,38.09,33.78,34.71,30.4,2022-03-23,16:09,NA,22.3,-2.23,NA,Dry day 1,23 March 2022,low,dry,NM,4.310000000000002,4.310000000000002,12.417170844137143,1,2022-03-23T16:09:00Z,259,259,-1.3653803
HM,1899-12-31T11:58:00Z,RS497,133,234,101,NA,NA,NA,0.50277777777777777,0.32,NA,NA,11:58:00,2022-03-23T11:58:00Z,3.36,40.76,35.38,37.4,32.02,2022-03-23,15:32,NA,23.3,-2.33,NA,Dry day 1,23 March 2022,low,dry,spore,5.3799999999999955,5.3799999999999955,14.385026737967904,1,2022-03-23T15:32:00Z,214,214,-1.6156038000000001
HM,1899-12-31T12:27:00Z,RS435,190,190,0,NA,NA,NA,0.5229166666666667,0.52,NA,NA,12:27:00,2022-03-23T12:27:00Z,3.35,40.59,34.67,37.24,31.32,2022-03-23,15:57,NA,18.9,-1.89,NA,Dry day 1,23 March 2022,high,dry,NM,5.920000000000002,5.920000000000002,15.896885069817404,1,2022-03-23T15:57:00Z,210,210,-1.1889569999999998
HM,1899-12-31T12:36:00Z,RS303,251,251,0,NA,NA,NA,0.52986111111111112,0.43,NA,NA,12:36:00,2022-03-23T12:36:00Z,3.37,35.58,31.11,32.21,27.74,2022-03-23,15:24,NA,9.5,-0.95,NA,Dry day 1,23 March 2022,high,dry,NM,4.470000000000002,4.470000000000002,13.87767773983236,1,2022-03-23T15:24:00Z,168,168,-0.3891655999999999
HM,1899-12-31T12:46:00Z,RS580,104,150,46,NA,NA,NA,0.53611111111111109,0.33,NA,NA,12:46:00,2022-03-23T12:46:00Z,3.37,39.86,34.15,36.49,30.78,2022-03-23,14:54,NA,32.85,-3.285,NA,Dry day 1,23 March 2022,high,dry,spore,5.710000000000001,5.710000000000001,15.648122773362566,1,2022-03-23T14:54:00Z,128,128,-2.8576976000000003
HM,1899-12-31T13:04:00Z,RS391,212,212,0,NA,NA,NA,0.54861111111111105,0.31,NA,NA,13:04:00,2022-03-23T13:04:00Z,3.39,37.24,33.12,33.85,29.73,2022-03-23,15:17,NA,19.5,-1.95,9.4 outer ring wet; 19.5 more toward center; 45.8 whole surface shines; not dark to >50,Dry day 1,23 March 2022,high,dry,NM,4.120000000000001,4.120000000000001,12.171344165435748,1,2022-03-23T15:17:00Z,133,133,-1.5060061
HM,1899-12-31T14:50:00Z,RS541,106,113,7,NA,NA,NA,0.62152777777777779,0.47,NA,NA,14:50:00,2022-03-23T14:50:00Z,3.31,51.13,33.88,47.82,30.57,2022-03-23,17:25,NA,13.1,-1.31,NA,Intermediate day 1,23 March 2022,low,intermed,spore,17.25,17.25,36.07277289836888,1,2022-03-23T17:25:00Z,155,155,-0.7925635
HM,1899-12-31T15:23:00Z,RS309,145,145,0,NA,NA,NA,0.64652777777777781,0.41,"double stem, double root system",NA,15:23:00,2022-03-23T15:23:00Z,3.39,55.39,37.96,52,34.57,2022-03-23,17:12,NA,12.1,-1.21,"two stems. stem A = 12.10, stem B = 15.52",NA,NA,NA,NA,NA,17.43,17.43,33.51923076923077,NA,2022-03-23T17:12:00Z,109,109,-0.8461253
HM,1899-12-31T15:34:00Z,RS411,122,122,0,NA,NA,NA,0.65277777777777779,0.38,NA,NA,15:34:00,2022-03-23T15:34:00Z,3.41,50.98,34.72,47.57,31.31,2022-03-23,16:57,NA,12.83,-1.283,NA,Intermediate day 1,23 March 2022,low,intermed,NM,16.26,16.26,34.181206642842135,1,2022-03-23T16:57:00Z,83,83,-1.0059211
HM,1899-12-31T11:21:00Z,RS164,"NA","NA","NA",NA,NA,NA,0.4777777777777778,0.43,NA,NA,11:21:00,2022-03-23T11:21:00Z,3.4,34.46,28.9,31.06,25.5,2022-03-23,15:50,NA,16.4,-1.64,5.8 dark patch; 16.4 more of it dark,Dry day 1,23 March 2022,low,dry,NM,5.559999999999999,5.559999999999999,17.900837089504183,1,2022-03-23T15:50:00Z,269,269,-0.7419972999999999
HM,1899-12-31T11:34:00Z,RS103,"NA","NA","NA",NA,NA,NA,0.4861111111111111,0.39,NA,NA,11:34:00,2022-03-23T11:34:00Z,3.34,39.87,36.87,36.53,33.53,2022-03-23,15:38,NA,19.1,-1.91,19.1 part of xylem dark; definitely by 25,Dry day 1,23 March 2022,low,dry,NM,3,3,8.212428141253763,1,2022-03-23T15:38:00Z,244,244,-1.0954547999999997
