Plant_ID,total_root_dry_cal,shoot_dry_wt,total_dry_biomass
RS191,0.13845519999999997,NA,NA
RS215,0.09159344000000001,NA,NA
RS225,0.16188608000000002,NA,NA
RS442,0.05751216000000001,0.067,0.12451216000000001
RS100,0.09798368,0.057,0.15498368
RS447,0.14484544000000002,0.101,0.24584544000000003
RS210,0.040471520000000004,NA,NA
RS265,0.06603248,NA,NA
RS425,0.03834144,NA,NA
RS537,0.0852032,NA,NA
RS305,0.09159344,0.098,0.18959344
RS030,0.07242272000000001,NA,NA
RS495,0.12141455999999999,NA,NA
RS594,0.08946335999999999,NA,NA
RS182,0.12567472,NA,NA
RS289,0.07668288,NA,NA
RS299,0.10437392,NA,NA
RS497,0.06816256,NA,NA
RS435,0.11076416,NA,NA
RS303,0.09159344,NA,NA
RS580,0.07029264,NA,NA
RS589,0.04686176,NA,NA
RS391,0.06603248,NA,NA
RS541,0.10011376,NA,NA
RS309,0.08733328,NA,NA
RS411,0.08094304000000001,NA,NA
RS164,0.09159344,NA,NA
RS103,0.08307312,NA,NA
RS405,0.0745528,NA,NA
RS233,0.09372352,NA,NA
RS543,0.040471520000000004,NA,NA
RS306,0.11289424,NA,NA
RS203,0.11076416,NA,NA
RS342,0.11289424,NA,NA
RS413,0.10224384,0.058,0.16024384
RS070,0.04899184,NA,NA
RS326,0.11502432000000001,NA,NA
RS180,0.059642240000000006,NA,NA
RS522,0.1384552,NA,NA
RS231,0.10224384,NA,NA
RS374,0.13632512,NA,NA
RS283,0.11076416,NA,NA
RS167,0.10224384,NA,NA
RS487,0.12141456000000002,NA,NA
RS375,0.06603248000000002,0.05,0.11603248000000002
RS500,0.059642240000000006,0.062,0.12164224000000001
RS281,0.11289424,0.063,0.17589424
RS264,0.13632512,0.094,0.23032512
RS079,0.12141456000000002,0.073,0.19441456000000001
RS263,0.07668288,NA,NA
RS388,0.08307312,0.072,0.15507312
RS531,0.05751216000000001,NA,NA
RS499,0.05751216000000001,0.037,0.09451216000000001
RS588,0.12354464000000001,NA,NA
RS201,0.15549584,0.075,0.23049584
RS546,0.14484544000000002,0.102,0.24684544000000003
RS573,0.08733328000000001,0.041,0.12833328000000002
RS099,0.10224384,0.047,0.14924384000000002
RS143,0.10011376000000001,0.061,0.16111376
RS319,0.10863408000000001,0.067,0.17563408000000003
RS217,0.12993488000000003,NA,NA
RS410,0.06603248,NA,NA
RS431,0.13845519999999997,NA,NA
RS569,0.12141455999999999,NA,NA
RS102,0.07242272000000001,NA,NA
RS084,0.040471520000000004,NA,NA
RS508,0.0319512,NA,NA
RS572,0.053252,NA,NA
RS346,0.0852032,NA,NA
RS571,0.0745528,NA,NA
RS547,0.07242272000000001,NA,NA
RS476,0.04473168,NA,NA
RS524,0.07242272,NA,NA
RS494,0.05112192,0.052,0.10312192
RS553,0.06390240000000001,0.079,0.1429024
RS178,0.0639024,0.066,0.1299024
RS512,0.05538208,0.074,0.12938208
RS069,0.05751216000000001,0.049,0.10651216000000001
RS564,0.05538208,0.037,0.09238208
RS292,0.0745528,0.054,0.1285528
RS582,0.1491056,0.091,0.2401056
RS052,0.07242272,0.07,0.14242272
RS285,0.11076416,0.046,0.15676415999999999
RS534,0.048991839999999995,0.037,0.08599183999999999
RS206,0.16614624,0.069,0.23514624
RS599,0.11928448000000001,0.078,0.19728448
RS493,0.12354464000000001,0.075,0.19854464
RS045,0.12141456000000002,0.086,0.20741456000000003
RS204,0.09159344000000001,0.064,0.15559344000000003
RS311,0.11928448000000001,0.067,0.18628448000000003
RS454,0.10011376,0.063,0.16311376
RS414,0.09798368,0.073,0.17098368
RS503,0.0745528,0.089,0.1635528
RS003,0.09798368,0.054,0.15198368
RS343,0.10863408000000001,0.065,0.17363408000000002
RS272,0.106504,0.068,0.174504
RS382,0.12993488,0.063,0.19293488
RS166,0.09798367999999999,NA,NA
RS590,0.08307312,0.072,0.15507312
RS489,0.10437392,0.087,0.19137391999999998
RS017,0.10437392,0.067,0.17137392
RS585,0.12993488,0.076,0.20593488
RS220,0.08520319999999999,0.072,0.1572032
RS146,0.09798368,0.071,0.16898368
RS416,0.10437392,0.073,0.17737392
RS467,0.106504,0.062,0.168504
RS521,0.10224384,0.081,0.18324384
RS029,0.13632512,0.078,0.21432511999999998
RS324,0.13632512,NA,NA
RS576,0.09798368,NA,NA
RS10,0.12141455999999999,NA,NA
RS261,0.11076416,NA,NA
RS568,0.15123567999999998,NA,NA
RS011,0.13632512,0.059,0.19532512
RS370,0.11289424,0.065,0.17789424
RS250,0.15762592,0.081,0.23862592
RS358,0.15549584,0.073,0.22849584
RS297,0.14058528,0.089,0.22958528
RS552,0.06816256,NA,NA
RS207,0.13632512,NA,NA
RS554,0.18531696000000003,0.071,0.25631696000000004
RS367,0.15549584,0.072,0.22749584
RS536,0.12567472,0.07,0.19567472
RS057,0.14058528,NA,NA
RS229,0.09159344000000001,0.067,0.15859344000000003
RS295,0.23004864000000003,0.075,0.30504864000000004
RS535,0.08094304000000001,NA,NA
RS357,0.08733328000000001,NA,NA
RS373,0.0958536,NA,NA
